timestamp_utc,SEZ2011,COMUNE,gap_score,cand_id,lat,lon,road_class,is_intersection,current_speed_kmh,free_flow_speed_kmh,congestione,road_closure
2026-07-21T18:05:09+00:00,150770000308,Cinisello Balsamo,0.7375002525201512,3,45.565997,9.210997,tertiary,True,43,43,0.0,False
2026-07-21T18:05:09+00:00,151830000005,Robecchetto con Induno,0.7359793597243346,1,45.51991,8.779577,tertiary,True,55,55,0.0,False
2026-07-21T18:05:09+00:00,151830000005,Robecchetto con Induno,0.7359793597243346,2,45.516917,8.780502,tertiary,True,55,55,0.0,False
2026-07-21T18:05:09+00:00,151830000005,Robecchetto con Induno,0.7359793597243346,3,45.523449,8.775463,tertiary,True,55,55,0.0,False
2026-07-21T18:05:09+00:00,151590000014,Opera,0.7350933747370183,1,45.395131,9.210867,primary,True,64,64,0.0,False
2026-07-21T18:05:09+00:00,151590000014,Opera,0.7350933747370183,2,45.39603,9.210784,primary,True,64,64,0.0,False
2026-07-21T18:05:09+00:00,151590000014,Opera,0.7350933747370183,3,45.397007,9.210418,primary,False,64,64,0.0,False
2026-07-21T18:05:09+00:00,150770000455,Cinisello Balsamo,0.7342939680872247,1,45.565241,9.207911,tertiary,True,45,45,0.0,False
2026-07-21T18:05:09+00:00,150770000455,Cinisello Balsamo,0.7342939680872247,2,45.564988,9.207264,tertiary,True,43,43,0.0,False
2026-07-21T18:05:09+00:00,150770000455,Cinisello Balsamo,0.7342939680872247,3,45.565515,9.208997,tertiary,True,45,45,0.0,False
2026-07-21T18:05:09+00:00,151590000013,Opera,0.7339534266263019,1,45.393895,9.212439,unclassified,True,64,64,0.0,False
2026-07-21T18:05:09+00:00,151590000013,Opera,0.7339534266263019,2,45.393732,9.211626,unclassified,True,64,64,0.0,False
2026-07-21T18:05:09+00:00,151590000013,Opera,0.7339534266263019,3,45.393842,9.216179,unclassified,True,64,64,0.0,False
2026-07-21T18:05:09+00:00,151390000006,Mediglia,0.7320891064249785,1,45.397067,9.33226,tertiary,True,68,68,0.0,False
2026-07-21T18:05:09+00:00,151390000006,Mediglia,0.7320891064249785,2,45.397118,9.331785,tertiary,True,68,68,0.0,False
2026-07-21T18:05:09+00:00,151390000006,Mediglia,0.7320891064249785,3,45.39762,9.334004,tertiary,True,68,68,0.0,False
2026-07-21T18:05:09+00:00,151590000022,Opera,0.730949158314262,1,45.397843,9.210489,primary,True,64,64,0.0,False
2026-07-21T18:05:09+00:00,151590000022,Opera,0.730949158314262,2,45.397007,9.210418,primary,True,64,64,0.0,False
2026-07-21T18:05:09+00:00,151590000022,Opera,0.730949158314262,3,45.396689,9.210494,primary,True,64,64,0.0,False
2026-07-21T18:05:09+00:00,150990000018,Dairago,0.7297543772564479,1,45.568846,8.857263,unclassified,True,53,53,0.0,False
2026-07-21T18:05:09+00:00,150990000018,Dairago,0.7297543772564479,2,45.568133,8.858907,unclassified,True,53,53,0.0,False
2026-07-21T18:05:09+00:00,150990000018,Dairago,0.7297543772564479,3,45.567371,8.859266,unclassified,True,53,53,0.0,False
2026-07-21T18:05:09+00:00,150770000392,Cinisello Balsamo,0.7272782368032968,1,45.569145,9.206454,unclassified,True,45,45,0.0,False
2026-07-21T18:05:09+00:00,150770000392,Cinisello Balsamo,0.7272782368032968,2,45.568105,9.206765,unclassified,True,45,45,0.0,False
2026-07-21T18:05:09+00:00,150770000392,Cinisello Balsamo,0.7272782368032968,3,45.569785,9.209229,unclassified,False,45,45,0.0,False
2026-07-21T18:05:09+00:00,151390000001,Mediglia,0.726435540984742,1,45.400682,9.322053,tertiary,True,67,67,0.0,False
2026-07-21T18:05:09+00:00,151390000001,Mediglia,0.726435540984742,2,45.400391,9.322009,tertiary,True,67,67,0.0,False
2026-07-21T18:05:09+00:00,151390000001,Mediglia,0.726435540984742,3,45.400742,9.322539,tertiary,True,67,67,0.0,False
2026-07-21T18:05:09+00:00,151060000024,Gessate,0.7259449304054464,1,45.5577,9.431549,secondary,True,55,55,0.0,False
2026-07-21T18:05:09+00:00,151060000024,Gessate,0.7259449304054464,2,45.556237,9.430568,secondary,True,55,55,0.0,False
2026-07-21T18:05:09+00:00,151060000024,Gessate,0.7259449304054464,3,45.555991,9.429498,secondary,True,55,55,0.0,False
2026-07-21T18:05:09+00:00,151840000008,Robecco sul Naviglio,0.7257111688941349,1,45.441717,8.881367,tertiary,True,64,64,0.0,False
2026-07-21T18:05:09+00:00,151840000008,Robecco sul Naviglio,0.7257111688941349,2,45.44127,8.883255,tertiary,True,65,65,0.0,False
2026-07-21T18:05:09+00:00,151840000008,Robecco sul Naviglio,0.7257111688941349,3,45.44051,8.884759,tertiary,True,65,65,0.0,False
2026-07-21T18:05:09+00:00,151780000006,Pozzuolo Martesana,0.7249463935793504,1,45.513624,9.45368,unclassified,True,58,58,0.0,False
2026-07-21T18:05:09+00:00,151780000006,Pozzuolo Martesana,0.7249463935793504,2,45.511902,9.455225,unclassified,True,58,58,0.0,False
2026-07-21T18:05:09+00:00,151780000006,Pozzuolo Martesana,0.7249463935793504,3,45.511787,9.456606,unclassified,True,58,58,0.0,False
2026-07-21T18:05:09+00:00,152360000004,Vernate,0.7248915606322527,1,45.317102,9.059756,tertiary,True,60,60,0.0,False
2026-07-21T18:05:09+00:00,152360000004,Vernate,0.7248915606322527,2,45.317168,9.060898,tertiary,True,60,60,0.0,False
2026-07-21T18:05:09+00:00,152360000004,Vernate,0.7248915606322527,3,45.316893,9.058624,tertiary,True,60,60,0.0,False
2026-07-21T18:05:09+00:00,150270000046,Bollate,0.7233042911110021,1,45.547239,9.147746,secondary,True,34,34,0.0,False
2026-07-21T18:05:09+00:00,150270000046,Bollate,0.7233042911110021,2,45.550032,9.14615,secondary,False,55,55,0.0,False
2026-07-21T18:05:09+00:00,150270000046,Bollate,0.7233042911110021,3,45.549355,9.146712,secondary,False,62,62,0.0,False
2026-07-21T18:05:09+00:00,151840000006,Robecco sul Naviglio,0.7230185825971769,1,45.436869,8.882654,primary,True,55,55,0.0,False
2026-07-21T18:05:09+00:00,151840000006,Robecco sul Naviglio,0.7230185825971769,2,45.43735,8.883549,primary,True,55,55,0.0,False
