SEZ2011,COMUNE,gap_score,centroid_lat,centroid_lon,current_speed_kmh,free_flow_speed_kmh,congestione,road_closure
150220000002,Besate,0.8457837792598706,45.31263228595504,8.971293383403518,25,32,0.21875,False
150590000040,Cassano d'Adda,0.8090312749814579,45.50603974704459,9.530568738041758,51,51,0.0,False
150220000001,Besate,0.8066359409766615,45.312246546415736,8.967317634092902,67,67,0.0,False
151390000012,Mediglia,0.8052276000196243,45.40007255265976,9.342663839575005,68,68,0.0,False
150990000006,Dairago,0.7709685518618672,45.57246664813959,8.862938043999607,22,33,0.33333333333333337,False
150990000004,Dairago,0.7676872328697544,45.56333458812661,8.862031007487952,22,22,0.0,False
151390000005,Mediglia,0.7604290822407629,45.39589678497904,9.330152134075249,68,68,0.0,False
151390000004,Mediglia,0.7585618760948553,45.40250967281943,9.328890395344752,67,67,0.0,False
151830000004,Robecchetto con Induno,0.7553527057173448,45.521584921616366,8.776442369800943,55,55,0.0,False
150990000005,Dairago,0.7542589327199739,45.56650201822523,8.857487080723654,53,53,0.0,False
152240000010,Truccazzano,0.7476905228465803,45.46513230307565,9.474614710321132,54,54,0.0,False
151060000002,Gessate,0.7425160242073031,45.55974353158851,9.434033288123851,48,48,0.0,False
151460002842,Milano,0.741696415945421,45.39642212270903,9.206622760661793,64,64,0.0,False
152360000001,Vernate,0.7404237143838364,45.33191544543978,9.049306781794833,65,65,0.0,False
150770000370,Cinisello Balsamo,0.7379158285402604,45.57136831022224,9.207678826466381,45,45,0.0,False
150770000308,Cinisello Balsamo,0.7375002525201512,45.566592015475734,9.209020373762218,45,45,0.0,False
151830000005,Robecchetto con Induno,0.7359793597243346,45.522146170381305,8.781806299686869,54,54,0.0,False
151590000014,Opera,0.7350933747370183,45.39636636405773,9.213581530093261,64,64,0.0,False
150770000455,Cinisello Balsamo,0.7342939680872247,45.5658043795379,9.20676223129903,45,45,0.0,False
151590000013,Opera,0.7339534266263019,45.39496462139278,9.213964479807213,64,64,0.0,False
151390000006,Mediglia,0.7320891064249785,45.39623252748015,9.33399167681848,68,68,0.0,False
151590000022,Opera,0.730949158314262,45.39533616049507,9.210673279771497,64,64,0.0,False
150990000018,Dairago,0.7297543772564479,45.56769453027374,8.856609027469299,53,53,0.0,False
150770000392,Cinisello Balsamo,0.7272782368032968,45.56825240052755,9.205207066985178,45,45,0.0,False
151390000001,Mediglia,0.726435540984742,45.4029083162572,9.3230232559018,67,67,0.0,False
151060000024,Gessate,0.7259449304054464,45.558122635713985,9.429429576662468,55,55,0.0,False
151840000008,Robecco sul Naviglio,0.7257111688941349,45.44021986514633,8.880949691323474,64,64,0.0,False
151780000006,Pozzuolo Martesana,0.7249463935793504,45.511716429838366,9.456791078752165,58,58,0.0,False
152360000004,Vernate,0.7248915606322527,45.315880740484744,9.060425592339335,60,60,0.0,False
150270000046,Bollate,0.7233042911110021,45.547137281895864,9.145935426988077,33,33,0.0,False
151840000006,Robecco sul Naviglio,0.7230185825971769,45.43546169881621,8.882784156223575,55,55,0.0,False
151840000003,Robecco sul Naviglio,0.7196016242096119,45.433125925892895,8.886925340757795,43,43,0.0,False
151780000010,Pozzuolo Martesana,0.7180720735800431,45.51319287561631,9.46482469967279,58,58,0.0,False
151030000093,Gaggiano,0.7171341415902132,45.38036881812242,9.027452558781224,68,68,0.0,False
150990000001,Dairago,0.7159220448648945,45.56601307519309,8.861791533859012,22,22,0.0,False
150770000393,Cinisello Balsamo,0.714057724663571,45.56955348612766,9.205265704266225,45,45,0.0,False
150770000310,Cinisello Balsamo,0.7121097120693088,45.56856586463373,9.208323012644392,45,45,0.0,False
151660000079,Paderno Dugnano,0.7118644067796609,45.56907447893337,9.15659871138759,42,42,0.0,False
151390000003,Mediglia,0.7112179551928244,45.402222200719194,9.3262227141487,67,67,0.0,False
151840000004,Robecco sul Naviglio,0.7107590900039538,45.43715771503254,8.886504711046172,49,49,0.0,False
151460002739,Milano,0.7105830473843242,45.41596102211048,9.239780379362385,53,53,0.0,False
150270000044,Bollate,0.7092237674852166,45.54781436166539,9.139986900507305,45,45,0.0,False
150410000011,Busto Garolfo,0.7031690557477914,45.544499335636765,8.892316057792245,35,35,0.0,False
150720000017,Cerro Maggiore,0.6999223680906879,45.58874789455034,8.965306260841972,42,42,0.0,False
150700000003,Cernusco sul Naviglio,0.69710280023203,45.52430836055979,9.32766198490733,35,35,0.0,False
151060000001,Gessate,0.6955934512145499,45.5564065864136,9.432377261585389,55,55,0.0,False
150990000002,Dairago,0.6942688026504515,45.56810462837131,8.866158788318186,37,37,0.0,False
151460002738,Milano,0.694095645975406,45.41592604858434,9.241359150886513,53,53,0.0,False
151720000033,Pessano con Bornago,0.6917868903081323,45.55016606749475,9.373259251890987,43,43,0.0,False
151780000007,Pozzuolo Martesana,0.6870828006360621,45.516270670110906,9.462345865079271,53,53,0.0,False
