SEZ2011,COMUNE,offerta_colonnine_500m_originale,distanza_colonnina_piu_vicina_m,gap_score_originale,gap_score_simulato,colonnine_necessarie_sotto_soglia,delta_gap
790080000008,Badolato,0.0,9500.049784215538,0.9195023477159192,0.4436360593003893,2,-0.4758662884155299
790080000009,Badolato,0.0,8069.571963652945,0.8691772460585212,0.3980900818742479,1,-0.4710871641842733
790080000007,Badolato,0.0,8863.58573726111,0.862683870744314,0.3887800246459667,1,-0.47390384609834724
790110000003,Borgia,0.0,6407.7067322240655,0.86193352515245,0.4007999838387103,1,-0.46113354131373974
791570000002,Zagarise,0.0,5341.628399884512,0.8567474827348365,0.4080408188001974,1,-0.4487066639346391
790920000003,Pentone,0.0,4027.4808950291726,0.851688421878923,0.43137945265175015,2,-0.42030896922717287
790120000004,Botricello,0.0,6187.9839325170715,0.850493640821109,0.39134274343664055,1,-0.45915089738446846
790120000002,Botricello,0.0,5538.706281349304,0.8465745280759118,0.39510312922971247,1,-0.45147139884619936
790690000007,Maida,0.0,4014.620512532373,0.8394433590086203,0.4195037906882112,1,-0.41993956832040913
791270000002,Sellia Marina,0.0,3888.371902648534,0.8376973625352446,0.4219481857509372,1,-0.41574917678430745
790110000002,Borgia,0.0,6607.879230743652,0.837209637900533,0.37449171301012674,1,-0.4627179248904063
791270000027,Sellia Marina,0.0,3305.8524813683853,0.8316801680774126,0.43832303532107575,2,-0.3933571327563369
790630000005,Isca sullo Ionio,0.0,5737.649369665103,0.8297004100927254,0.37564897678834774,1,-0.4540514333043777
791510000002,Vallefiorita,0.0,6156.957326247107,0.8204365279777898,0.3615799969408987,1,-0.45885653103689106
791140000005,San Pietro a Maida,0.0,5434.793275173981,0.8183499900434912,0.36830424782183335,1,-0.45004574222165783
790120000005,Botricello,0.0,4765.999167757586,0.8152793450060173,0.37644838343814124,1,-0.43883096156787604
791600000023,Lamezia Terme,0.0,2015.7915494721074,0.8149994083813603,0.5066795187398812,3,-0.30831988964147916
790690000015,Maida,0.0,3835.0989207121315,0.8083184466691871,0.39432681013659177,1,-0.4139916365325953
790230000119,Catanzaro,0.0,2066.0203569331998,0.8070370872738502,0.49432767591996696,2,-0.3127094113538832
790230000104,Catanzaro,0.0,2786.346130278992,0.8056460619843178,0.43973426222269674,2,-0.365911799761621
791600000032,Lamezia Terme,0.0,1987.2500911359841,0.8032305263674326,0.49756570574331827,2,-0.3056648206241144
791420000001,Squillace,0.0,2845.8691957645524,0.799825111758204,0.43038957365940655,2,-0.3694355380987975
791270000017,Sellia Marina,0.0,4684.2840721724515,0.7933807975019264,0.35631026213034656,1,-0.4370705353715798
791600000017,Lamezia Terme,0.0,2085.6491533436174,0.7933028769981558,0.4788359253925606,2,-0.31446695160559524
791470000006,Tiriolo,0.0,2797.4601066674454,0.7914558724643369,0.42487741950379065,1,-0.36657845296054625
790580000006,Gimigliano,0.0,6090.12935249784,0.7826999165962015,0.32452158253657215,1,-0.4581783340596294
790870000012,Nocera Terinese,0.0,2516.4067902305706,0.7823132000219332,0.43432600207210814,2,-0.347987197949825
790580000005,Gimigliano,0.0,5372.522405437011,0.7802670653118119,0.3310957642991339,1,-0.449171301012678
791600000016,Lamezia Terme,0.0,2192.940179434023,0.7786653660676408,0.455159636024669,2,-0.3235057300429718
791170000005,Santa Caterina dello Ionio,0.0,5800.308302434172,0.7775658211811016,0.32276981417402817,1,-0.45479600700707346
790110000001,Borgia,0.0,6629.986222137593,0.7774590412314902,0.31453044238644523,1,-0.462928598845045
791140000010,San Pietro a Maida,0.0,6081.875807094372,0.7767144675287945,0.3186429134187765,1,-0.458071554110018
790630000004,Isca sullo Ionio,0.0,5756.107366186643,0.775476397302219,0.3211825446527775,1,-0.45429385264944144
791140000006,San Pietro a Maida,0.0,5746.581389645526,0.7720969561942472,0.3179243132173376,1,-0.4541726429769096
790960000010,Pianopoli,0.0,3245.7070682840335,0.7720190356904766,0.3814439535132046,1,-0.390575082177272
791570000003,Zagarise,0.0,4960.7529879805925,0.7711936555394263,0.32873217568476243,1,-0.4424614798546639
791330000006,Simeri Crichi,0.0,4546.085775834107,0.7696843065219462,0.33564978485283126,1,-0.43403452166911494
791270000004,Sellia Marina,0.0,4593.692869816527,0.769271616446421,0.3341433217799351,1,-0.43512829466648584
791600000012,Lamezia Terme,0.0,2249.7506341818225,0.7678171003760386,0.43971117466602405,2,-0.3281059257100145
791180000006,Sant'Andrea Apostolo dello Ionio,0.0,3740.1005879890226,0.767424611912602,0.35676912731921717,1,-0.41065548459338486
791600000131,Lamezia Terme,0.0,1489.3541189908835,0.7653092145324625,0.513507663625843,3,-0.2518015509066195
791600000021,Lamezia Terme,0.0,1850.4419528722017,0.7640278551371256,0.471361328919762,2,-0.29266652621736355
791270000015,Sellia Marina,0.0,3585.649820797123,0.7624174980592022,0.3574617540193993,1,-0.40495574403980295
791600000028,Lamezia Terme,0.0,1680.4535558236244,0.7622183678828999,0.48724268196602083,2,-0.27497568591687904
790080000005,Badolato,0.0,9761.848139274542,0.7618287653640474,0.2852323329687423,1,-0.47659643239530514
791600000015,Lamezia Terme,0.0,2176.3019922849703,0.7595604129209511,0.43737644549749355,2,-0.32218396742345756
791600000022,Lamezia Terme,0.0,1728.3909235886752,0.7576946497473356,0.4773554358209213,2,-0.28033921392641425
791330000001,Simeri Crichi,0.0,6254.606398747111,0.7570669568002955,0.29729269538566316,1,-0.4597742614146323
