SEZ2011,COMUNE,gap_score,popolazione_eta_guida_stimata
151660000114,Paderno Dugnano,0.6396609592302609,468.0
151460004443,Milano,0.6394878025552153,166.0
152200000021,Trezzano sul Naviglio,0.6390635687013538,462.0
151570000124,Novate Milanese,0.6372742830592166,360.0
151060000018,Gessate,0.6363796402381481,522.0
151180000073,Legnano,0.634965527391943,637.0
151460002737,Milano,0.633586045880747,206.0
150970000048,Cusago,0.6332916795331696,244.0
150700000030,Cernusco sul Naviglio,0.6329684537397513,559.0
150700000004,Cernusco sul Naviglio,0.6318775666869645,434.0
151660000081,Paderno Dugnano,0.6311618524301097,218.0
150770000407,Cinisello Balsamo,0.6306221807928843,461.0
150500000006,Carpiano,0.6302210344956956,152.0
150770000005,Cinisello Balsamo,0.6297102223043113,229.0
150410000016,Busto Garolfo,0.6289858502137042,666.0
150770000307,Cinisello Balsamo,0.6287174573673836,183.0
150770000139,Cinisello Balsamo,0.628414433186054,295.0
150700000034,Cernusco sul Naviglio,0.6269628030602556,656.0
151840000010,Robecco sul Naviglio,0.6267001821031033,160.0
151710000159,Peschiera Borromeo,0.6259556084004074,117.0
150120000042,Bareggio,0.6255544621032187,244.0
150700000064,Cernusco sul Naviglio,0.6247896867884344,442.0
150700000026,Cernusco sul Naviglio,0.624781028954682,659.0
150700000065,Cernusco sul Naviglio,0.6244087421033341,432.0
150700000031,Cernusco sul Naviglio,0.624313505932059,787.0
150440000003,Cambiago,0.6241749805920227,428.0
151060000025,Gessate,0.6240682006424112,152.0
150770000363,Cinisello Balsamo,0.6227868412470744,330.0
150770000409,Cinisello Balsamo,0.6226858331866312,682.0
150860000038,Cormano,0.6215603147988352,377.0
150990000014,Dairago,0.6212486327837533,107.0
150700000017,Cernusco sul Naviglio,0.6205646639173235,448.0
151300000230,Magenta,0.6202212365118165,266.0
150700000011,Cernusco sul Naviglio,0.6200740533380278,286.0
150700000018,Cernusco sul Naviglio,0.619548811423723,297.0
150720000020,Cerro Maggiore,0.619358339081173,456.0
150410000015,Busto Garolfo,0.6193092780232434,403.0
152110000030,Settimo Milanese,0.6184247360082191,420.0
150700000007,Cernusco sul Naviglio,0.6182703379729703,384.0
151700000040,Pero,0.6176296582753018,340.0
150770000237,Cinisello Balsamo,0.6167667608446582,221.0
150140000002,Basiano,0.6152804993838508,716.0
151570000123,Novate Milanese,0.615191035101744,441.0
151660000262,Paderno Dugnano,0.6135864499129888,359.0
151730000022,Pieve Emanuele,0.6135777920792365,431.0
151460002845,Milano,0.6134825559079615,71.0
151720000005,Pessano con Bornago,0.6126831492581679,906.0
150720000016,Cerro Maggiore,0.6125244223060429,473.0
150120000032,Bareggio,0.6122213981247132,250.0
151540000021,Nerviano,0.6116413232633107,686.0
150700000024,Cernusco sul Naviglio,0.6111709142961037,424.0
150770000230,Cinisello Balsamo,0.6110699062356604,147.0
150770000002,Cinisello Balsamo,0.6110208451777309,384.0
151460004258,Milano,0.6103109028100442,348.0
150590000004,Cassano d'Adda,0.6091363233643188,415.0
151460004438,Milano,0.6090035699134505,287.0
150770000004,Cinisello Balsamo,0.6084321528858003,578.0
150700000027,Cernusco sul Naviglio,0.607702008906025,429.0
151390000007,Mediglia,0.6074971068405544,363.0
150440000015,Cambiago,0.6067900504174519,395.0
150770000036,Cinisello Balsamo,0.6067813925836996,352.0
151660000296,Paderno Dugnano,0.606038261853296,341.0
150120000016,Bareggio,0.6054076829616718,270.0
150120000001,Bareggio,0.6050469398886602,415.0
151660000008,Paderno Dugnano,0.6039069917779439,379.0
151700000029,Pero,0.6036905459341368,249.0
150410000005,Busto Garolfo,0.6032778558586118,393.0
151400000035,Melegnano,0.603248996412771,531.0
150440000014,Cambiago,0.6030844975714776,333.0
152000000005,Santo Stefano Ticino,0.6029661738435299,452.0
151660000240,Paderno Dugnano,0.6016761566144406,382.0
150770000021,Cinisello Balsamo,0.60096332830217,234.0
151140000012,Inzago,0.5994164620050966,487.0
150440000008,Cambiago,0.5990701486550055,674.0
151420000028,Melzo,0.5984006095114961,586.0
151420000026,Melzo,0.5981495323326802,668.0
152370000018,Vignate,0.5981177869422551,369.0
150600000026,Cassina de' Pecchi,0.5979128848767845,616.0
151460004441,Milano,0.5976820093100572,230.0
151300000220,Magenta,0.5975810012496141,171.0
150770000368,Cinisello Balsamo,0.5967613929877319,164.0
151030000138,Gaggiano,0.5967296475973068,126.0
150770000011,Cinisello Balsamo,0.5966979022068819,304.0
150410000003,Busto Garolfo,0.5964699125847386,291.0
150970000002,Cusago,0.5957686280508041,227.0
151030000117,Gaggiano,0.5953790255319518,173.0
150770000216,Cinisello Balsamo,0.5949259322322493,208.0
150770000153,Cinisello Balsamo,0.5946431096630083,606.0
151720000006,Pessano con Bornago,0.593976456464083,627.0
150770000141,Cinisello Balsamo,0.593886992181976,208.0
151660000294,Paderno Dugnano,0.5937859841215329,411.0
150720000012,Cerro Maggiore,0.591407965784241,477.0
151840000014,Robecco sul Naviglio,0.590689365582802,285.0
151780000009,Pozzuolo Martesana,0.5906749358598816,250.0
151660000053,Paderno Dugnano,0.5903430522327111,334.0
150410000028,Busto Garolfo,0.5900948609984791,279.0
151660000086,Paderno Dugnano,0.5899072746005132,268.0
151140000011,Inzago,0.5891251836182242,455.0
150050000021,Albairate,0.5884267850288739,68.0
150770000229,Cinisello Balsamo,0.5884238990842898,218.0
151660000087,Paderno Dugnano,0.5872897228627416,268.0
151660000201,Paderno Dugnano,0.5870126721826687,295.0
151390000014,Mediglia,0.586830857673871,222.0
151780000013,Pozzuolo Martesana,0.5862161514774593,377.0
151660000113,Paderno Dugnano,0.5858034614019341,183.0
150770000017,Cinisello Balsamo,0.5848655294121042,299.0
151400000034,Melegnano,0.5844961285053405,550.0
151080000022,Gorgonzola,0.5843056561627904,382.0
151460004447,Milano,0.5842161918806835,296.0
151950000009,San Giuliano Milanese,0.5833359787825354,402.0
151660000118,Paderno Dugnano,0.5832176550545876,252.0
150770000364,Cinisello Balsamo,0.5831166469941444,192.0
151460004435,Milano,0.5830704718807989,281.0
150700000022,Cernusco sul Naviglio,0.5827530179765488,416.0
150770000142,Cinisello Balsamo,0.5826173785810965,400.0
151460004489,Milano,0.5823489857347759,258.0
151180000085,Legnano,0.5820748209992872,568.0
151300000058,Magenta,0.5816679028129301,277.0
150770000235,Cinisello Balsamo,0.580721312989348,188.0
150770000458,Cinisello Balsamo,0.5806982254326754,723.0
150410000001,Busto Garolfo,0.5804442623092751,274.0
152010000013,San Vittore Olona,0.5803980871959297,186.0
150770000143,Cinisello Balsamo,0.5803865434175933,206.0
151780000016,Pozzuolo Martesana,0.5801441240725296,222.0
150700000009,Cernusco sul Naviglio,0.5797978107224385,100.0
151660000203,Paderno Dugnano,0.5786174593875448,191.0
151730000018,Pieve Emanuele,0.5784731621583403,709.0
150770000218,Cinisello Balsamo,0.578152822309506,186.0
150770000006,Cinisello Balsamo,0.5779161748536105,265.0
150770000010,Cinisello Balsamo,0.5775669755589353,448.0
151660000210,Paderno Dugnano,0.5751341242745457,124.0
151460004981,Milano,0.5744934445768772,316.0
150870000004,Cornaredo,0.5743231738464158,634.0
151400000037,Melegnano,0.5741327015038657,197.0
151660000111,Paderno Dugnano,0.5740028339975816,257.0
151300000039,Magenta,0.573890282158802,164.0
151840000012,Robecco sul Naviglio,0.5737690724862701,185.0
150700000014,Cernusco sul Naviglio,0.5736911519824996,772.0
151460004434,Milano,0.573416987247011,412.0
151660000261,Paderno Dugnano,0.5724299941992514,219.0
151730000017,Pieve Emanuele,0.5723030126375512,564.0
150720000015,Cerro Maggiore,0.5720548214033194,633.0
151730000020,Pieve Emanuele,0.5717546831665739,561.0
150770000022,Cinisello Balsamo,0.5716277016048739,253.0
150270000047,Bollate,0.5711457488593303,761.0
151780000001,Pozzuolo Martesana,0.5711197753580737,333.0
151570000053,Novate Milanese,0.570600305332937,149.0
151300000006,Magenta,0.5702337903707573,240.0
151460006077,Milano,0.5698211002952321,285.0
150770000062,Cinisello Balsamo,0.5696912327889481,531.0
151460003225,Milano,0.568658064627843,211.0
151720000008,Pessano con Bornago,0.5684127593381952,446.0
150770000058,Cinisello Balsamo,0.5681328227135383,179.0
151460001263,Milano,0.5671746891116197,445.0
151460002843,Milano,0.5670217340486629,68.0
152110000135,Settimo Milanese,0.5667619990360945,298.0
150120000002,Bareggio,0.5667533412023422,406.0
152110000025,Settimo Milanese,0.5660664863913283,337.0
151300000027,Magenta,0.5660289691117351,259.0
151590000046,Opera,0.5656105071470419,193.0
151030000119,Gaggiano,0.5643666650312981,126.0
150870000003,Cornaredo,0.5643320336962889,523.0
151890000215,Rozzano,0.5643060601950322,206.0
152010000007,San Vittore Olona,0.5630824196913771,644.0
150770000012,Cinisello Balsamo,0.5626264404470906,197.0
